side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
341415,345470,343210,349265,340475,334910,338520
341655,345465,342815,349195,341000,335320,337890
342015,345665,343495,349495,340645,335695,338245
342030,345455,343865,349400,341160,335720,338685
342870,345815,343880,349475,341490,336295,339115
342695,347170,344965,350080,341680,336500,339505
342305,345770,343655,349765,341230,336485,339470
341720,345380,343170,349235,340940,335945,338810
340920,345585,343125,348850,340960,335715,338070
342615,346270,344355,349955,341725,336340,339030
342125,345610,343555,349360,340715,335625,338560
342400,345705,343665,349665,341490,336055,338670
342035,346000,343975,348895,340280,335200,338570
341955,345590,343855,348790,341070,335820,338625
342205,345585,343520,349870,341060,335570,338900
341625,345705,343420,349380,341175,335925,338585
342255,345615,343405,349305,340825,335520,338720
342455,346395,343610,349750,341125,336105,339360
342415,345840,343960,349870,341625,336600,338965
342725,346930,344970,350375,341110,336825,339425
342210,345745,343595,349920,340930,335915,338870
343165,346135,343950,350485,341555,336930,339270
341995,345620,342890,349535,340920,335815,338465
343005,345820,343770,349995,341650,336335,339475
342435,345675,343925,349740,341230,336070,338775
341795,345690,343325,349580,341605,336515,338760
342825,346010,344460,350235,341110,335605,339880
341630,345980,343250,349280,341315,336130,338570
341405,345570,343610,348960,340675,335360,338510
341430,345075,342905,348805,340210,335335,337950
341955,345625,343720,349375,340440,335305,338600
341470,345210,343345,349020,340200,336215,338175
342430,345320,343445,349570,341370,335925,339030
343075,346320,344260,350405,340540,335985,339450
342250,346290,343815,349810,341420,336285,338700
341975,345410,343255,349855,340905,336020,338265
341585,345195,343575,349370,339995,335160,338535
342030,345950,344055,349515,341230,336100,339045
342260,345265,343150,349450,341000,335825,338770
341980,345880,343675,349825,341050,336145,338750
343330,345885,343415,350560,341075,335535,339970
342040,345625,343440,349460,340500,335875,338270
342095,346090,344000,349755,340930,335805,338600
342110,345770,343705,349320,341090,335880,338520
342645,345455,343275,350530,341555,336365,339405
343055,346210,343830,350150,341335,336375,339000
341285,345205,342705,348680,340150,335155,338365
342725,346195,344350,350530,341065,336060,339105
342665,345465,343655,349840,341140,336370,338675
342035,345865,343525,349225,341370,336090,338595
