side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
461055,466205,467350,476140,465545,457190,461460
461050,465670,467120,476200,466305,457410,461205
461100,466515,468190,475825,466080,457085,460965
460215,465050,466890,474805,464780,456630,460560
460815,465780,467045,475755,465440,456085,460615
460990,466085,467415,475665,465960,457075,460985
461710,466075,467410,476575,465715,457240,462115
461070,465895,467435,475785,466170,457015,460485
461325,465855,467815,476680,466725,457515,461840
461160,466495,467705,476235,466600,457965,461910
461560,466625,468270,477310,466585,457085,462380
461385,466035,466860,475660,465765,456760,460635
460795,465685,467190,476403,466080,457495,461400
460965,466145,467270,476070,465630,456340,461370
460255,465015,466465,475035,466555,457135,460215
460455,465055,466980,475560,464950,456630,460770
460730,464955,466745,475430,465510,456560,460760
460350,464690,466920,475575,465465,456255,460650
461120,466155,468035,476455,465705,456780,462155
460395,465165,466695,475150,465765,455710,461085
460715,465970,467135,476245,466170,457025,460190
461285,466415,467485,476420,466030,456900,460825
460045,465935,467855,475220,465670,456435,460690
460075,465090,466050,475180,464800,455575,459845
460645,466555,467980,476145,465765,457005,461315
461035,466015,467080,476425,465640,457140,461370
460855,466170,467640,475685,466035,457235,461145
459430,464780,466545,474615,465330,455925,459670
460100,465460,466835,475390,465335,456355,460680
459765,464925,466535,475110,465630,456480,460430
460050,465380,467200,475830,465065,456165,461145
460430,465135,467110,476135,465975,456675,460910
460870,466220,466730,476195,465800,456165,460665
460385,465640,467340,475360,465710,456335,460995
460610,465515,466785,475795,466165,457000,460635
461210,466255,467905,475750,465975,456550,461430
460280,465065,466885,475105,465565,456445,460920
460220,465660,467215,476495,465635,456480,461255
460430,465195,466705,475760,465995,456605,460925
461405,464570,466285,475990,465610,456635,460425
460885,465680,467665,475860,465270,456755,461190
460925,466100,466775,476315,465780,456620,460925
460700,465525,467120,475905,466103,456650,460940
461015,465950,467030,476020,464830,455945,461070
460560,465565,466495,475230,465670,456530,460680
460630,464720,466430,475065,466010,456640,459975
460620,465350,467405,475330,465570,456000,460610
459445,464805,467225,475085,466000,456585,460200
460445,465325,466925,475545,465510,456130,460385
460560,465285,467125,475170,465510,456575,461055
