side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
505935,510166,516600,525803,515018,505006,509705
505513,511471,516218,525699,515162,505383,509159
506983,512500,515269,526961,516437,504825,508897
507377,511809,517243,526699,515249,505748,511079
506133,511139,516403,526005,514862,504994,510226
505913,510623,516566,525626,514542,505036,510005
505175,511271,517014,525190,514025,504218,509316
505880,510579,515709,525793,516109,504508,508660
506723,512182,515417,526102,515509,503883,508280
507371,512333,515841,527290,516147,504310,508158
506158,512009,516952,526523,514675,505538,510141
507660,512686,515500,527203,515696,503565,509126
505605,511019,516155,525833,514351,505063,509196
505998,512464,515066,525605,515238,503684,508599
506390,512134,515575,526815,516112,503325,508383
506105,511843,515290,526851,516517,504168,508048
505490,510788,516392,525212,514012,504452,509813
507343,512064,514654,526709,516615,503449,508035
506073,512020,514718,526014,516151,503433,508706
506418,511575,516573,525597,514881,505753,509943
506950,512511,515171,526582,516219,502980,507466
505528,510405,515864,525629,514623,504552,509402
505828,510706,515885,526310,515299,502895,508047
506901,511258,514912,526266,514911,502270,507279
505589,511850,517251,525198,514493,504718,509275
506783,511521,516322,526522,516002,504230,508826
507515,512532,514791,526612,515584,503436,507818
505716,511298,516674,525648,515845,504678,510074
506880,513509,514943,525477,514159,504460,508065
504598,511116,515298,524363,514216,504488,509378
505121,512451,515095,525416,514922,504434,510168
504631,511786,515485,524763,513661,503493,508905
506413,511320,513434,526385,515434,502640,507165
506016,511165,514752,525768,515774,502220,507030
507148,511658,515194,527094,515742,502853,508163
507390,511843,516158,527495,516286,504525,508214
507005,513340,515085,526464,516062,503690,507991
505606,511509,515595,525201,513553,504414,509128
505808,511323,516652,525705,514350,504978,509195
505673,510943,516634,525675,515208,504838,509418
505398,509266,515002,525624,514570,503531,509316
506673,511656,514587,527182,515073,503558,507354
506986,512274,515022,526484,515681,502693,508038
507711,512854,514581,527048,515931,503678,508361
507028,512551,515192,526469,515335,502903,507674
506648,511934,514312,526024,514866,502948,507636
507295,512812,514358,526668,514981,504523,508860
506908,511594,514402,526322,515854,502805,507987
505745,509766,515730,525902,516338,503563,508121
506754,512256,515855,525634,514119,504676,508554
