side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
504975,509991,513243,523991,512931,501925,506851
505690,510114,513254,523714,513384,503125,507583
505520,510390,514021,522852,512666,502501,506113
504718,509773,513673,523804,512742,502087,506850
504875,510421,513617,523168,512809,501933,506770
504378,509516,513299,523009,512335,501200,506085
504481,509811,513103,522261,511764,501383,505583
506300,510243,513201,523453,512231,502784,507010
504738,510429,513381,523144,512694,502448,506600
505133,510617,513079,523561,513901,502823,507208
505580,511617,513523,523931,513151,501931,507610
504863,509683,512995,523859,513161,502328,506909
504306,509873,513240,523062,512455,502163,506692
505606,510782,513565,522836,512599,502286,506994
505059,509615,512970,522796,513284,502708,506308
505680,510341,512693,522948,512756,502926,506488
504718,510363,513533,523609,512967,501738,506736
506030,510194,513293,523815,512881,502477,507233
505420,510179,513822,524409,511989,501736,507243
505405,510056,513011,523510,512533,501576,506441
505091,510693,513732,522910,512665,501530,507215
504230,510096,513731,523081,512622,502490,506151
504260,509648,512516,522320,512934,502064,506098
505673,510509,514267,523488,513053,502968,506893
504965,510413,513548,523143,513120,501973,506538
504215,510229,512805,523307,512654,502081,506091
504713,510035,512562,522960,512691,502491,506506
503911,509328,513054,522203,511743,501348,505548
505125,509540,511835,521693,512206,502014,506148
504633,510227,513545,522921,512714,502078,506533
505083,510294,512616,522701,511856,501246,506196
504578,510226,513575,523264,512196,502203,506326
505010,509751,513755,521988,512152,501716,506099
504425,509464,512612,522691,511998,501956,506003
505488,510993,514366,523041,513069,502876,506735
505558,511053,514033,523381,513300,502021,507181
504715,509568,512417,522552,512438,501345,506131
504845,510586,513542,522826,512610,502213,506643
504565,510171,513387,523233,512342,501110,505660
505855,508928,511855,523355,513042,501911,506721
504911,509955,513396,523872,512991,502206,506765
504821,509688,512631,522379,512435,502000,506458
505486,510387,513331,523420,514460,503346,507311
506270,510645,514251,524084,513001,502673,507415
505238,510034,513564,523000,512375,502795,506901
505256,510355,514509,524334,512823,502490,507196
504940,510626,513793,522939,511238,501605,506695
504335,509903,512835,523364,513270,501768,506778
504685,510076,513086,523780,513351,502460,506893
504970,510733,513371,522719,512358,502438,506274
