side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
513436,522305,534896,555399,537496,511857,523991
511193,521989,534975,553448,536816,510923,522777
511562,522481,534176,555327,537047,511834,522511
510363,521136,534087,553775,537207,511339,522208
509665,522035,535143,554103,536207,512656,522271
511314,522479,534807,555247,537336,513137,522903
512058,520792,534191,555439,538199,511786,523681
511825,520906,533775,554375,537591,511800,522720
511281,521832,534512,554752,536991,511649,523543
510730,520322,533887,552967,535703,511042,521767
510187,521201,533239,554439,536296,511241,521472
509706,520658,533032,552879,534887,510426,520815
509616,519969,533327,552504,536159,511672,520816
510368,522088,534072,553295,537231,511003,521264
510507,521968,534599,554775,537215,511130,522304
511386,521680,534255,555199,537183,512084,523248
511952,522874,534231,554887,537823,511769,523207
510521,521681,533879,555439,535920,511668,522137
510538,522131,534591,553663,535719,511251,521968
511300,521904,533847,553679,535673,511058,522631
511067,520242,533663,553455,537168,510960,522872
511041,521600,533615,554375,537207,511938,521938
508962,520729,533399,553007,536359,512395,521680
510290,522649,534871,554735,537208,512159,522184
510825,520642,532999,553623,537319,512220,522527
510533,521640,534080,553751,536519,511517,521368
510849,521137,533783,553880,536863,511541,522519
509201,521921,532656,553687,534623,510594,521095
510688,520368,533503,553271,536704,510522,522191
511026,522585,534895,554599,535023,510642,521928
511636,521857,534911,554407,537015,512114,522243
511369,522201,534727,554391,536527,512123,521983
511793,522735,535471,554799,537343,512315,523737
511689,521834,535247,554559,536831,511677,522224
511817,522216,535351,554815,537104,511861,523264
511562,521194,534455,553903,536583,511995,520968
509912,522008,533279,552431,536615,510682,520657
510337,522760,534151,554263,535719,511719,521232
511137,521119,534303,553431,537703,511609,521591
510203,522273,533679,554383,537863,512023,522714
511753,522080,534503,554847,538815,512555,522455
509232,521193,533815,553847,536671,511393,521376
511577,520919,533871,554127,535800,511346,522056
510636,521604,534071,555015,536023,511548,520575
509954,521284,533799,553983,535815,510739,522072
510186,522304,533848,553999,535711,511449,521665
511258,520385,534455,554512,537039,511793,523527
510850,521096,533263,553911,536031,510889,522265
511443,522834,534752,555583,538015,514344,523584
512449,522671,534663,554407,536479,511729,522288
