side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
503155,508415,511642,522818,511684,501463,506318
503038,508949,512097,522042,511417,500570,505893
503288,507958,511613,521315,511586,499740,504478
501550,508723,511133,521715,510965,500688,504728
502478,508572,510704,521600,510289,499674,505265
502343,507365,511012,521854,510785,501379,505478
503383,508363,511535,522041,511318,500541,505691
502658,507688,511275,521399,510315,500068,505245
504015,509008,512639,523045,512899,501021,505721
504055,509451,512561,522892,511396,501644,505548
503858,508428,513704,522831,512394,500544,505613
503365,508671,512155,522484,512848,500944,505785
503440,509098,512103,522936,511852,500848,505863
502333,508648,511803,521200,510886,501315,504941
503420,509664,512527,522777,512599,501750,505858
502908,508488,511418,521783,511560,500641,506286
504071,509321,512916,522841,511383,500625,505195
504383,509308,513130,523331,512138,500660,505550
504330,509293,512652,522784,511451,501064,505573
504765,510142,512272,523176,511877,501966,505506
503405,508889,511583,522413,511570,501195,505585
502731,508906,511243,522401,511379,501390,504475
502673,509173,511930,522116,511199,501043,505393
502845,509301,512408,521356,511511,500365,506365
503456,509031,512051,523114,511515,500686,505905
504338,508391,512501,523024,512493,500955,505795
503025,509176,511747,522039,511022,500550,504543
504011,508794,512842,522847,511125,500753,505124
503528,508863,512798,522518,511706,500278,505555
503490,508449,512185,521915,511398,500178,505190
503710,508928,512685,522207,511689,501016,505288
504126,508366,512795,522974,512168,501370,506273
503790,508893,511887,521795,511616,500734,504895
503695,509178,512681,522692,512288,501750,506194
503370,509324,513045,521594,511603,500491,505045
503300,508391,511524,522812,511542,501188,505310
503581,508893,512432,522055,511118,500909,505865
503235,508491,511611,522358,511753,500698,504895
504425,508453,512105,523536,512585,500845,506178
503915,509706,512494,523258,512064,501616,506023
504166,509273,512592,522171,512613,501145,506445
503411,508940,512435,522341,511971,501570,506600
504123,509510,513269,523318,512105,500658,506210
503679,509681,511944,522598,511362,501556,506523
503698,509414,512460,522611,511481,500930,506015
503530,508603,512907,521569,512016,501070,505238
502193,508468,511556,521521,511687,501130,505560
502933,508616,513604,522850,511499,500318,505628
504585,509068,512924,523015,512777,501036,506216
503145,509546,512052,522465,511717,501810,505668
