side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
627001,630006,626854,615123,629417,608596,616605
626655,630019,627575,615528,629601,608786,616652
626555,629979,627565,615416,629356,608647,616457
627550,630051,627564,615459,629427,608532,616764
626620,630135,627174,615402,629247,609051,616563
627293,629964,627258,615218,629596,608917,617169
627134,629930,627630,615389,629298,608503,616882
626697,629892,626909,615649,629402,608246,616773
627067,629909,627388,615017,629721,608642,616810
627292,629959,627740,614856,629749,608644,616907
627087,629674,627676,615372,629687,608329,616111
627102,629849,627301,615186,629685,608531,616667
627120,630138,627500,615911,629250,608885,616482
627068,630023,627535,615576,629599,608518,616858
626940,629730,627760,614960,629286,608936,616919
626940,629785,627360,615517,629524,608519,616107
626939,629747,627575,615511,629249,609121,616621
627285,630022,627574,615104,629207,608728,616690
627013,629720,626968,615711,628953,608522,616767
627341,630216,627741,615079,629457,609125,617050
626769,630128,627260,615239,629379,608648,616571
627240,630012,627577,615546,629043,608852,616622
627048,629606,627397,615238,629336,608567,616523
626722,629747,627356,615514,629451,608817,616685
627099,630073,627566,615438,629537,608458,616964
626858,629944,627525,615276,629287,608659,616716
627068,629496,627452,614997,629564,608725,616736
627311,630149,627068,614936,629654,608854,616555
626991,629713,627836,615707,629719,607956,616657
627423,630302,627224,615887,629394,609060,616671
626652,630121,627192,615502,629337,608665,616766
627134,630268,627117,615042,629142,608644,616653
627308,630002,627173,615367,629460,608936,616603
627066,629544,627038,615418,629490,608641,616361
626879,630088,627654,615938,629337,608964,616687
627163,630339,627068,615452,629411,608833,616922
626671,629897,627146,615838,629473,608375,616766
626972,630053,627723,615424,629305,608469,616524
626559,629976,627596,615192,628797,608499,616411
626677,630057,627008,615070,629802,608436,616560
627029,630115,627378,615372,629521,608233,616737
627112,630098,627562,615502,629195,608488,616655
626812,629511,627660,615488,629482,609256,616365
627227,629817,627400,615195,629463,608244,616788
626242,629591,627102,614776,629497,608341,616524
627121,629967,626859,615797,629595,608472,616590
626813,629994,627196,614777,629574,608515,616858
626717,629739,627506,615423,629320,608420,616702
626974,630012,627405,615405,629587,608847,616647
627338,629640,627307,615416,629343,608232,616706
