side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
477320,482150,483245,493043,482120,473325,477080
475980,481060,484450,492570,481730,473260,477385
475325,481175,483635,491730,481290,472425,476980
476940,481570,482255,493725,483385,471433,476765
474915,479780,484345,491855,481175,472245,476460
477235,482280,482190,493545,482555,473045,476635
475815,480490,484950,492200,482695,474060,478635
476410,481745,484800,493295,483105,471585,476735
476810,482160,483010,492665,481850,472900,476815
476620,481375,482290,493325,482705,471798,476695
475785,480985,484635,492655,482038,473820,478015
477640,479470,483715,494340,483640,472215,477155
476345,481315,484790,492478,482730,473660,478340
476290,482285,484185,491985,482485,474435,477950
475730,480725,484935,492830,482835,474600,478660
477755,483085,482930,493970,483623,472175,477865
475950,480585,484265,493203,482670,472180,477300
476865,481900,483735,493135,481745,473690,477980
477345,482010,483625,493910,483905,471605,476665
475860,481550,483560,492505,482305,473465,477035
475900,482410,483400,492410,481820,472943,476805
475890,481185,484420,491800,481785,474375,477775
477450,482415,483395,494231,483610,472040,477075
477500,481120,483960,494150,482750,471645,476700
475180,480275,484100,491905,483283,473255,477975
476305,481055,483855,492445,481630,473670,477000
475970,481385,483885,491465,481435,473283,477720
476540,481045,482990,492955,483553,472395,476180
476075,479705,484440,492085,481975,473443,477300
475460,481300,484253,492048,482165,473680,478915
476565,481165,484405,492865,482280,474395,478210
476210,480580,485010,492690,482185,473670,478210
475930,480620,485055,493005,482685,472990,477185
474165,480925,483640,491160,481670,473190,477605
476975,481250,483630,493885,482535,472615,476505
474990,480765,484360,491850,482115,473095,477520
476680,481215,483925,493702,484283,471760,476630
476640,482405,483210,493295,482465,473930,477220
475370,482020,483565,491645,482375,473880,478175
475760,481010,485360,492690,482841,473790,478545
476140,481915,484860,492605,481945,474240,478440
476940,482015,482900,493275,482935,472035,477140
475655,480895,484560,492370,481415,473475,477800
475895,481830,484035,492200,481338,473010,477450
476695,481210,483070,493015,482725,472685,477005
476525,482020,483250,492620,481540,473770,477505
475305,480750,483990,493025,482860,473405,477970
477165,482045,482885,493175,483276,472735,476680
475810,481985,485610,492350,482753,474181,478110
477295,481505,482735,493825,482990,471815,476540
